img_idx,cat_idx,hallucination,is_positive,cat_name,dice_ce,dice,focal,l2,scaled_dice_ce,scaled_dice,scaled_focal,scaled_l2
0,0,False,True,tv,1.5688568353652954,0.7900325059890747,0.23350118100643158,0.06423518061637878,1.4544934034347534,0.665661096572876,0.26283758878707886,0.18369872868061066
0,1,False,True,chair,1.673964262008667,0.9060510993003845,0.22351236641407013,0.040683820843696594,1.5230684280395508,0.7729707360267639,0.22440260648727417,0.10111083835363388
0,2,False,True,person,1.5972058773040771,0.8814017176628113,0.1875912994146347,0.00821924488991499,1.084937334060669,0.39122605323791504,0.17476798593997955,0.007424316368997097
1,0,False,True,bear,1.4144675731658936,0.7596476078033447,0.15269894897937775,0.5071635842323303,1.6244289875030518,0.9372061491012573,0.17204886674880981,0.657055675983429
2,0,False,True,bed,1.411849021911621,0.6841069459915161,0.19895294308662415,0.0987420529127121,1.1006817817687988,0.4144597053527832,0.18143892288208008,0.11489013582468033
2,1,False,True,potted plant,1.6599156856536865,0.8936899304389954,0.22214312851428986,0.04393240064382553,1.3629796504974365,0.6363515853881836,0.20530498027801514,0.0703125
2,2,True,True,chair,1.7258753776550293,0.9399904012680054,0.23622865974903107,0.056153010576963425,1.6637344360351562,0.8690710067749023,0.26206111907958984,0.1719067394733429
3,0,False,True,stop sign,1.4569764137268066,0.7203878164291382,0.20361793041229248,0.04755960777401924,1.0587754249572754,0.35907959938049316,0.18789927661418915,0.058428000658750534
3,1,False,True,truck,1.7485730648040771,0.9837473034858704,0.2215592861175537,0.03839010000228882,1.6989972591400146,0.9561982154846191,0.2159317135810852,0.0812079980969429
3,2,False,True,car,1.7700879573822021,0.9990028142929077,0.22551089525222778,0.040562815964221954,1.7511051893234253,0.9959420561790466,0.22618404030799866,0.10013599693775177
4,0,False,True,teddy bear,1.3899824619293213,0.725398063659668,0.15928341448307037,0.40121105313301086,1.613903522491455,0.9236873388290405,0.17474043369293213,0.5524218678474426
4,1,False,True,bed,1.5927631855010986,0.8625593185424805,0.19820797443389893,0.04152395576238632,1.7010318040847778,0.9883033037185669,0.19004960358142853,0.07013671845197678
5,0,False,True,person,1.4907660484313965,0.7652589082717896,0.19525207579135895,0.05144158750772476,1.4723100662231445,0.7679365277290344,0.18501964211463928,0.08268066495656967
5,1,False,True,skis,1.6916381120681763,0.944225013256073,0.20973490178585052,0.029144860804080963,1.6034002304077148,0.8644906878471375,0.2133474498987198,0.07759521156549454
6,0,False,True,refrigerator,1.5226126909255981,0.7755066752433777,0.21119260787963867,0.10712947696447372,1.319645881652832,0.5990309715270996,0.20558756589889526,0.15333496034145355
6,1,False,True,oven,1.4284265041351318,0.6846437454223633,0.2099263221025467,0.0470598042011261,1.1841139793395996,0.45042067766189575,0.2189919799566269,0.10547607392072678
7,0,False,True,person,1.4891912937164307,0.7674380540847778,0.1933378428220749,0.11980924755334854,1.5411608219146729,0.8361475467681885,0.18635137379169464,0.17384766042232513
7,1,False,True,baseball glove,1.6731270551681519,0.9388503432273865,0.2004328966140747,0.017455291002988815,1.5641863346099854,0.8482972383499146,0.19327260553836823,0.038798827677965164
7,2,True,True,sports ball,1.7342103719711304,0.9898577928543091,0.2067819982767105,0.020711328834295273,1.6920461654663086,0.9719055891036987,0.19640569388866425,0.04391845688223839
8,0,False,True,person,1.5248764753341675,0.7859172821044922,0.20443138480186462,0.0524728000164032,1.325038194656372,0.6082307696342468,0.19848185777664185,0.09013427793979645
8,1,False,True,tennis racket,1.6743190288543701,0.9296228289604187,0.20793303847312927,0.025967154651880264,1.6331558227539062,0.8932924270629883,0.21391621232032776,0.07819580286741257
9,0,False,True,person,1.4034457206726074,0.685335636138916,0.19484683871269226,0.1952720582485199,1.3914923667907715,0.6773574948310852,0.20362623035907745,0.30184081196784973
9,1,False,True,handbag,1.7013840675354004,0.9747127890586853,0.19483497738838196,0.01568438485264778,1.7027442455291748,1.0,0.1814671754837036,0.021982422098517418
9,2,False,True,tennis racket,1.7830774784088135,0.9837899208068848,0.2453249990940094,0.06481268256902695,1.8244690895080566,0.9867791533470154,0.29677096009254456,0.2387109398841858
10,0,False,True,person,1.5022350549697876,0.7634560465812683,0.20436786115169525,0.05230917036533356,1.2175984382629395,0.5079635381698608,0.19406767189502716,0.0802001953125
10,1,False,True,handbag,1.4908857345581055,0.7480597496032715,0.2086307406425476,0.03282100334763527,1.4061119556427002,0.6613361835479736,0.22167330980300903,0.09874511510133743
10,2,False,True,boat,1.700183629989624,0.9257910847663879,0.2294786423444748,0.05488286167383194,1.6559114456176758,0.866197943687439,0.2577876150608063,0.16361327469348907
11,0,False,True,person,1.5480546951293945,0.8580231070518494,0.17289608716964722,0.4361126720905304,1.6947886943817139,0.9952367544174194,0.17896045744419098,0.5172485113143921
11,1,False,True,cell phone,1.443516492843628,0.7376793026924133,0.18158496916294098,0.010529979132115841,1.0552642345428467,0.3639841079711914,0.17352308332920074,0.012080078013241291
11,2,False,True,clock,1.7192202806472778,0.986218273639679,0.1989889144897461,0.013582732528448105,1.6560395956039429,0.9495495557785034,0.18476071953773499,0.02187255769968033
12,0,False,True,person,1.4693598747253418,0.7296685576438904,0.2064196765422821,0.08265892416238785,1.2955291271209717,0.5786569118499756,0.20186559855937958,0.13252399861812592
