Doc ID,Question,Answer,Ground Truth,Prediction,Score,Stage,Text Output,Cumulative Confidences
0,Is there a snowboard in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.7089167238281799, 0.7089119913693677]"
0,Is there a snowboard in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.6333157421158386, 0.6333115898375878]"
1,Is there a backpack in the image?,no,no,no,1.0,Stage 1,No,"[0.9678443671272828, 0.9678412520710034]"
1,Is there a backpack in the image?,no,no,no,1.0,Stage 2,['No'],"[0.967847466568811, 0.9678449283846003]"
2,Is there a person in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9710950256393982, 0.9710876168694298]"
2,Is there a person in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9819824696587158, 0.9819779043610444]"
3,Is there a car in the image?,no,no,no,1.0,Stage 1,No,"[0.9928500653313233, 0.9928450944386696]"
3,Is there a car in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9933820963905884, 0.9933790175602036]"
4,Is there a skis in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.6149814129875733, 0.614977747474205]"
4,Is there a skis in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.7309533954666687, 0.7309495615366255]"
5,Is there a dog in the image?,no,no,no,1.0,Stage 1,No,"[0.9597076774643494, 0.9596748430181132]"
5,Is there a dog in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9590996504829956, 0.9590687805101612]"
6,Is there a truck in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.8757429123924805, 0.8757370662653915]"
6,Is there a truck in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9658644200371338, 0.965859584253245]"
7,Is there a car in the image?,no,no,yes,0.0,Stage 1,Yes,"[0.9532431365059448, 0.9532362048396078]"
7,Is there a car in the image?,no,no,yes,0.0,Stage 2,['Yes'],"[0.9251843095825744, 0.92518033921478]"
8,Is there a person in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9856559039162232, 0.985651674038547]"
8,Is there a person in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9829864502953124, 0.9829834036845854]"
9,Is there a dining table in the image?,no,no,no,1.0,Stage 1,No,"[0.9951516390846802, 0.9951506901336362]"
9,Is there a dining table in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9938784242676332, 0.9938772395716124]"
10,Is there an umbrella in the imange?,yes,yes,yes,1.0,Stage 1,Yes,"[0.989465832810266, 0.9894471962532164]"
10,Is there an umbrella in the imange?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9835471511887146, 0.9835453925677125]"
11,Is there a handbag in the image?,no,no,no,1.0,Stage 1,No,"[0.9559339285896852, 0.9559315356049845]"
11,Is there a handbag in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9609057308243348, 0.9609038981381932]"
12,Is there a person in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.6296778322266174, 0.6296725778482934]"
12,Is there a person in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9313783646629884, 0.9313679280345296]"
13,Is there a dining table in the image?,no,no,no,1.0,Stage 1,No,"[0.9931776524590088, 0.9931765869943054]"
13,Is there a dining table in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9840506912277772, 0.9840501047862632]"
14,Is there a bicycle in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.5116603375481201, 0.5116552750420638]"
14,Is there a bicycle in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9827848077820374, 0.9827733264866017]"
15,Is there a motorcycle in the image?,no,no,no,1.0,Stage 1,No,"[0.933366358380182, 0.933363910622828]"
15,Is there a motorcycle in the image?,no,no,no,1.0,Stage 2,['No'],"[0.956578493218286, 0.9565757565209222]"
16,Is there a car in the image?,yes,yes,no,0.0,Stage 1,Yes,"[0.546671450238092, 0.5466674098572167]"
16,Is there a car in the image?,yes,yes,no,0.0,Stage 2,['No'],"[0.6441370845841004, 0.6441353185446569]"
17,Is there a truck in the image?,no,no,no,1.0,Stage 1,No,"[0.7490178943680359, 0.7490160193552257]"
17,Is there a truck in the image?,no,no,no,1.0,Stage 2,['No'],"[0.8221047521637512, 0.8221035762156804]"
18,Is there a person in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9159706831978394, 0.9159651144865024]"
18,Is there a person in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.98514986048208, 0.9851446932639364]"
19,Is there a dining table in the image?,no,no,no,1.0,Stage 1,No,"[0.990408420662744, 0.990407830432364]"
19,Is there a dining table in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9830307365463806, 0.983029799153518]"
20,Is there a potted plant in the image?,yes,yes,yes,1.0,Stage 1,No,"[0.7279142738388611, 0.7279134929443616]"
20,Is there a potted plant in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.5812462569283081, 0.5812450790572259]"
21,Is there a vase in the image?,no,no,no,1.0,Stage 1,No,"[0.996895432572229, 0.9968915109784416]"
21,Is there a vase in the image?,no,no,no,1.0,Stage 2,['No'],"[0.995960533718927, 0.9959580405358224]"
22,Is there a car in the image?,yes,yes,no,0.0,Stage 1,No,"[0.9539135695503784, 0.9539123187768216]"
22,Is there a car in the image?,yes,yes,no,0.0,Stage 2,['No'],"[0.7248005868004395, 0.7247990316195853]"
23,Is there a truck in the image?,no,no,no,1.0,Stage 1,No,"[0.985018789868219, 0.9850164414989182]"
23,Is there a truck in the image?,no,no,no,1.0,Stage 2,['No'],"[0.9762675167130066, 0.9762668185296908]"
24,Is there a traffic light in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.9692859650658204, 0.96926689976069]"
24,Is there a traffic light in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9731993080185486, 0.973182486028144]"
25,Is there a bus in the image?,no,no,no,1.0,Stage 1,No,"[0.6113234163330628, 0.6113223961381731]"
25,Is there a bus in the image?,no,no,no,1.0,Stage 2,['No'],"[0.8417447806404663, 0.8417434762552761]"
26,Is there a person in the image?,yes,yes,yes,1.0,Stage 1,Yes,"[0.8975866437958313, 0.8975800098442908]"
26,Is there a person in the image?,yes,yes,yes,1.0,Stage 2,['Yes'],"[0.9565479756401613, 0.9565428444126092]"
